,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,last_poll,Contested,Last_Party,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Age,District_Name,MyNeta_education,TCPD_Prof_Main,predicted
24747,ASHOK BENDALAM,MAL,TDP,79992,GENER,172423,247941,ichchapuram,GEN,COASTAL ANDHRA,7,69.54,46.39,no,7145,4.14,2.5,True,2.0,TDP,ICHCHAPURAM,True,True,2.0,False,True,True,37.0,srikakulam,Graduate Professional,Liberal Profession or Professional,2
24754,APPALARAJU SEEDIRI,MAL,YSRCP,76603,GENER,150691,206799,palasa,GEN,COASTAL ANDHRA,10,72.87,50.83,no,16247,10.78,2.38,True,1.0,,,,,1.0,False,False,False,39.0,srikakulam,Post Graduate,Liberal Profession or Professional,0
24764,ATCHANNAIDU KINJARAPU,MAL,TDP,87658,GENER,176583,224852,tekkali,GEN,COASTAL ANDHRA,9,78.53,49.64,no,8545,4.84,2.22,True,6.0,TDP,TEKKALI,True,True,5.0,False,True,True,49.0,srikakulam,12th Pass,Politics,1
24773,REDDY SHANTHI,FEM,YSRCP,76941,GENER,152599,217897,pathapatnam,GEN,COASTAL ANDHRA,9,70.03,50.42,no,15551,10.19,2.44,True,1.0,,,,,1.0,False,False,False,51.0,srikakulam,10th Pass,Business,0
24782,DHARMANA PRASADA RAO,MAL,YSRCP,84084,GENER,177297,256243,srikakulam,GEN,COASTAL ANDHRA,9,69.19,47.43,no,5777,3.26,2.38,True,8.0,YSRCP,SRIKAKULAM,True,True,5.0,False,False,True,60.0,srikakulam,12th Pass,Agriculture,1
24791,THAMMINENI SEETHARAM,MAL,YSRCP,77897,GENER,150071,189677,amadalavalasa,GEN,COASTAL ANDHRA,7,79.12,51.91,no,13991,9.32,2.22,True,9.0,YSRCP,AMADALAVALASA,True,True,5.0,False,False,True,64.0,srikakulam,12th Pass,Politics,1
24798,Gorle. Kiran Kumar,MAL,YSRCP,99672,GENER,195372,232070,etcherla,GEN,COASTAL ANDHRA,10,84.19,51.02,no,18711,9.58,2.33,True,1.0,,,,,1.0,False,False,False,53.0,srikakulam,Post Graduate,Agriculture,0
24808,DHARMANA KRISHNA DAS,MAL,YSRCP,86797,GENER,167529,210451,narasannapeta,GEN,COASTAL ANDHRA,10,79.6,51.81,no,19555,11.67,2.33,True,1.0,,,,,1.0,False,False,False,64.0,srikakulam,Graduate,Salaried Work or Employed,0
24818,KAMBALA JOGULU,MAL,YSRCP,83561,SC,162534,220006,rajam,SC,COASTAL ANDHRA,7,73.88,51.41,no,16848,10.37,2.33,True,2.0,TDP,PALAKONDA,False,False,2.0,True,False,False,52.0,srikakulam,Graduate Professional,Social Work,0
24825,VISWASARAYI KALAVATHI,FEM,YSRCP,72054,ST,136712,184967,palakonda,ST,COASTAL ANDHRA,8,73.91,52.7,no,17980,13.15,2.27,True,3.0,YSRCP,PALAKONDA,True,True,2.0,False,True,True,53.0,srikakulam,Post Graduate,Retired or Pension,0
24833,PUSHPASREEVANI . PAMULA,FEM,YSRCP,74527,ST,143258,184259,kurupam,ST,COASTAL ANDHRA,7,77.75,52.02,no,26602,18.57,2.63,True,2.0,YSRCP,KURUPAM,True,True,2.0,False,True,True,33.0,vizianagaram,Graduate Professional,Agriculture,0
24840,ALAJANGI JOGARAO,MAL,YSRCP,75304,SC,140675,182866,parvathipuram,SC,COASTAL ANDHRA,8,76.93,53.53,no,24199,17.2,2.38,True,2.0,INC,PARVATHIPURAM,True,False,1.0,True,False,True,46.0,vizianagaram,Post Graduate,Business,0
24848,PEEDIKA. RAJANNA DORA,MAL,YSRCP,78430,ST,151713,190936,salur,ST,COASTAL ANDHRA,9,79.46,51.7,no,20029,13.2,2.38,True,2.0,INC,SALUR,True,False,1.0,True,False,False,54.0,vizianagaram,Post Graduate,Agriculture,0
24857,SAMBANGI VENKATACHINA APPALA NAIDU,MAL,YSRCP,84955,GENER,174457,220854,bobbili,GEN,COASTAL ANDHRA,7,78.99,48.7,no,8352,4.79,2.33,True,4.0,TDP,BOBBILI,True,False,3.0,True,False,False,65.0,vizianagaram,12th Pass,Agriculture,1
24864,BOTCHA SATYANARAYANA,MAL,YSRCP,89262,GENER,165883,198988,cheepurupalle,GEN,COASTAL ANDHRA,9,83.36,53.81,no,26498,15.97,2.33,True,4.0,INC,CHEEPURUPALLE,True,False,3.0,True,False,True,60.0,vizianagaram,Graduate,Business,1
24873,APPALANARASAYYA BOTCHA,MAL,YSRCP,93270,GENER,172331,198309,gajapathinagaram,GEN,COASTAL ANDHRA,10,86.9,54.12,no,27011,15.67,2.27,True,3.0,INC,GAJAPATHINAGARAM,True,False,2.0,True,False,True,55.0,vizianagaram,Graduate Professional,Business,0
24883,APPALA NAIDU BADDUKONDA,MAL,YSRCP,94258,GENER,177463,201692,nellimarla,GEN,COASTAL ANDHRA,13,87.99,53.11,no,28051,15.81,2.38,True,3.0,INC,NELLIMARLA,True,False,2.0,True,False,True,45.0,vizianagaram,Graduate,Business,0
24896,VEERA BHADRA SWAMY KOLAGATLA,MAL,YSRCP,78849,GENER,164420,232031,vizianagaram,GEN,COASTAL ANDHRA,10,70.86,47.96,no,6417,3.9,2.38,True,3.0,INC,VIZIANAGARAM,True,False,1.0,True,False,False,59.0,vizianagaram,12th Pass,Business,2
24906,Kadubandi Srinivasa Rao,MAL,YSRCP,91451,GENER,183901,213388,srungavarapukota,GEN,COASTAL ANDHRA,10,86.18,49.73,no,11365,6.18,2.27,True,1.0,,,,,1.0,False,False,False,52.0,vizianagaram,Post Graduate,Salaried Work or Employed,0
24916,MUTTAMSETTI SRINIVASARAO (AVANTHI SRINIVAS),MAL,YSRCP,101629,GENER,229890,307144,bhimili,GEN,COASTAL ANDHRA,11,74.85,44.21,no,9712,4.22,2.7,True,2.0,PRAP,BHIMILI,True,False,2.0,True,False,False,52.0,vishakapatnam,12th Pass,Business,2
24927,RAMAKRISHNA BABU VELAGAPUDI,MAL,TDP,87073,GENER,173804,272448,visakhapatnam east,GEN,COASTAL ANDHRA,16,63.79,50.1,no,26474,15.23,2.63,True,3.0,TDP,VISAKHAPATNAM EAST,True,True,3.0,False,True,True,59.0,vishakapatnam,Graduate,Politics,2
24943,GANESH KUMAR VASUPALLI,MAL,TDP,52172,GENER,125701,209356,visakhapatnam south,GEN,COASTAL ANDHRA,15,60.04,41.5,no,3729,2.97,2.94,True,2.0,TDP,VISAKHAPATNAM SOUTH,True,True,1.0,False,False,False,55.0,vishakapatnam,Graduate Professional,Business,2
24958,GANTA SRINIVASA RAO,MAL,TDP,67352,GENER,176841,280328,visakhapatnam north,GEN,COASTAL ANDHRA,17,63.08,38.09,no,1944,1.1,3.23,True,2.0,TDP,CHODAVARAM,False,True,2.0,False,False,False,59.0,vishakapatnam,Graduate Professional,Business,2
24975,P G V R NAIDU(GANA BABU),MAL,TDP,68699,GENER,134818,236625,visakhapatnam west,GEN,COASTAL ANDHRA,13,56.98,50.96,no,18981,14.08,2.5,True,2.0,PRAP,VISAKHAPATNAM WEST,True,False,1.0,True,False,False,49.0,vishakapatnam,Graduate,Business,0
24988,NAGIREDDY TIPPALA,MAL,YSRCP,75292,GENER,199284,310011,gajuwaka,GEN,COASTAL ANDHRA,13,64.28,37.78,no,16753,8.41,3.23,True,3.0,YSRCP,GAJUWAKA,True,True,1.0,False,False,True,66.0,vishakapatnam,10th Pass,Salaried Work or Employed,2
25001,KARANAM DHARMASRI,MAL,YSRCP,94215,GENER,174724,210806,chodavaram,GEN,COASTAL ANDHRA,10,82.88,53.92,no,27637,15.82,2.27,True,4.0,YSRCP,CHODAVARAM,True,True,2.0,False,False,True,50.0,vishakapatnam,12th Pass,Business,0
25011,BUDI MUTYALA NAIDU,MAL,YSRCP,78830,GENER,154609,186294,madugula,GEN,COASTAL ANDHRA,12,82.99,50.99,no,16392,10.6,2.38,True,3.0,YSRCP,MADUGULA,True,True,2.0,False,True,True,56.0,vishakapatnam,12th Pass,Agriculture,0
25023,CHETTI. PALGUNA,MAL,YSRCP,53101,ST,157575,220893,araku valley,ST,COASTAL ANDHRA,12,71.34,33.7,no,25441,16.15,6.25,True,1.0,,,,,1.0,False,False,False,57.0,vishakapatnam,Graduate,Salaried Work or Employed,2
25035,BHAGYA LAKSHMI KOTTAGULLI,FEM,YSRCP,71153,ST,140616,227117,paderu,ST,COASTAL ANDHRA,15,61.91,50.6,no,42804,30.44,3.33,True,1.0,,,,,1.0,False,False,False,36.0,vishakapatnam,Post Graduate,Agriculture,0
25050,Amarnath Gudivada,MAL,YSRCP,73207,GENER,159249,205573,anakapalle,GEN,COASTAL ANDHRA,13,77.47,45.97,no,8169,5.13,2.56,True,1.0,,,,,1.0,False,False,False,35.0,vishakapatnam,Graduate Professional,Politics,2
25063,ANNAMREDDY ADEEP RAJ,MAL,YSRCP,99759,GENER,200371,268878,pendurthi,GEN,COASTAL ANDHRA,12,74.52,49.79,no,28860,14.4,2.56,True,1.0,,,,,1.0,False,False,False,35.0,vishakapatnam,12th Pass,Business,2
25075,UPPALAPATI VENKATA RAMANAMURTHY RAJU,MAL,YSRCP,71934,GENER,168766,198556,yelamanchili,GEN,COASTAL ANDHRA,13,85.0,42.62,no,4146,2.46,2.86,True,2.0,INC,ELAMANCHILI,False,False,1.0,True,False,False,66.0,vishakapatnam,Graduate,Business,2
25088,GOLLA BABURAO,MAL,YSRCP,98745,SC,195725,240678,payakaraopet,SC,COASTAL ANDHRA,10,81.32,50.45,no,31189,15.94,2.63,True,2.0,INC,PAYAKARAOPET,True,False,2.0,True,False,False,64.0,vishakapatnam,Post Graduate,Politics,0
25098,UMA SANKARA GANESH PETLA,MAL,YSRCP,93818,GENER,174330,210578,narsipatnam,GEN,COASTAL ANDHRA,9,82.79,53.82,no,23366,13.4,2.22,True,2.0,YSRCP,NARSIPATNAM,True,True,1.0,False,False,True,46.0,vishakapatnam,Graduate,Agriculture,0
25107,DADISETTI RAJA,MAL,YSRCP,92459,GENER,177375,213055,tuni,GEN,COASTAL ANDHRA,16,83.25,52.13,no,24016,13.54,2.38,True,2.0,YSRCP,TUNI,True,True,2.0,False,True,True,43.0,east godavari,8th Pass,Business,0
25123,Sri Purnachandra Prasad Parvatha,MAL,YSRCP,77103,GENER,164915,202808,prathipadu,GEN,COASTAL ANDHRA,10,81.32,46.75,no,4611,2.8,2.44,True,1.0,,,,,1.0,False,False,False,54.0,east godavari,10th Pass,Business,2
25133,Dorababu Pendem,MAL,YSRCP,83459,GENER,186682,229729,pithapuram,GEN,COASTAL ANDHRA,11,81.26,44.71,no,14992,8.03,2.86,True,2.0,BJP,PITHAPURAM,True,False,1.0,True,False,False,59.0,east godavari,10th Pass,Agriculture,2
25144,Kurasala Kannababu,MAL,YSRCP,74068,GENER,184507,249109,kakinada rural,GEN,COASTAL ANDHRA,16,74.07,40.14,no,8789,4.76,2.94,True,2.0,PRAP,KAKINADA RURAL,True,False,2.0,True,False,False,50.0,east godavari,Post Graduate,Politics,2
25160,Nimmakayala China Rajappa,MAL,TDP,67393,GENER,162928,201975,peddapuram,GEN,COASTAL ANDHRA,11,80.67,41.36,no,4027,2.47,2.86,True,2.0,TDP,PEDDAPURAM,True,True,2.0,False,True,True,66.0,east godavari,Graduate,Agriculture,2
25171,DOCTOR. SATHI SURYANARAYANA REDDY,MAL,YSRCP,111771,GENER,186710,213511,anaparthy,GEN,COASTAL ANDHRA,12,87.45,59.86,no,55207,29.57,2.22,True,1.0,,,,,1.0,False,False,False,58.0,east godavari,Post Graduate,Liberal Profession or Professional,0
25183,Dwarampudi Chandra Sekhara Reddy,MAL,YSRCP,73890,GENER,171604,255773,kakinada city,GEN,COASTAL ANDHRA,16,67.09,43.06,no,14111,8.22,2.94,True,3.0,YSRCP,KAKINADA CITY,True,True,2.0,False,False,True,51.0,east godavari,12th Pass,Business,2
25199,CHELLUBOYINA SRINIVASA VENUGOPALAKRISHNA,MAL,YSRCP,75365,GENER,168891,193867,ramachandrapuram,GEN,COASTAL ANDHRA,14,87.12,44.62,no,5168,3.06,2.63,True,2.0,YSRCP,KAKINADA RURAL,False,True,1.0,False,False,True,56.0,east godavari,Graduate,Business,2
25213,PONNADA VENKATA SATISH KUMAR,MAL,YSRCP,78522,GENER,192043,229600,mummidivaram,GEN,COASTAL ANDHRA,12,83.64,40.89,no,5547,2.89,2.94,True,2.0,INC,MUMMIDIVARAM,True,False,2.0,True,False,False,46.0,east godavari,12th Pass,Business,2
25225,VISWARUPU PINIPE,MAL,YSRCP,72003,SC,169382,203768,amalapuram,SC,COASTAL ANDHRA,10,83.12,42.51,no,25654,15.15,3.12,True,5.0,INC,AMALAPURAM,True,False,3.0,True,False,False,56.0,east godavari,Graduate Professional,Agriculture,1
25235,RAPAKA VARA PRASADA RAO,MAL,JnP,50053,SC,149605,186903,razole,SC,COASTAL ANDHRA,11,80.04,33.46,no,814,0.54,3.23,True,3.0,IND,RAZOLE,True,False,2.0,False,False,True,60.0,east godavari,10th Pass,Agriculture,2
25246,KONDETI CHITTI BABU,MAL,YSRCP,67373,SC,156212,189385,gannavaram,SC,COASTAL ANDHRA,11,82.48,43.13,no,22207,14.22,3.12,True,2.0,IND,NAGARAM,False,False,1.0,False,False,False,55.0,east godavari,Post Graduate,Agriculture,2
25257,CHIRLA JAGGIREDDY,MAL,YSRCP,82645,GENER,203938,241645,kothapeta,GEN,COASTAL ANDHRA,12,84.4,40.52,no,4038,1.98,2.94,True,4.0,YSRCP,KOTHAPETA,True,True,3.0,False,True,True,42.0,east godavari,Post Graduate,Business,2
25269,JOGESWARA RAO. V,MAL,TDP,78029,GENER,186429,214388,mandapeta,GEN,COASTAL ANDHRA,12,86.96,41.85,no,10600,5.69,2.86,True,3.0,TDP,MANDAPETA,True,True,3.0,False,False,True,64.0,east godavari,Graduate,Business,2
25281,JAKKAMPUDI RAJA,MAL,YSRCP,90680,GENER,176785,201260,rajanagaram,GEN,COASTAL ANDHRA,13,87.84,51.29,no,31772,17.97,2.63,True,1.0,,,,,1.0,False,False,False,31.0,east godavari,Post Graduate,Business,0
25294,ADIREDDY BHAVANI,FEM,TDP,83702,GENER,167604,253184,rajahmundry city,GEN,COASTAL ANDHRA,12,66.2,49.94,no,30065,17.94,2.7,True,1.0,,,,,1.0,False,False,False,34.0,east godavari,Post Graduate,Business,0
25306,Gorantla Butchaiah Choudary,MAL,TDP,74166,GENER,188827,254432,rajahmundry rural,GEN,COASTAL ANDHRA,15,74.22,39.28,no,10404,5.51,3.23,True,8.0,TDP,RAJAHMUNDRY RURAL,True,True,5.0,False,True,True,73.0,east godavari,Graduate,Business,1
25321,Jyothula Chanti babu,MAL,YSRCP,93496,GENER,181127,211481,jaggampeta,GEN,COASTAL ANDHRA,12,85.65,51.62,no,23365,12.9,2.38,True,3.0,TDP,JAGGAMPETA,True,False,1.0,True,False,True,41.0,east godavari,8th Pass,Agriculture,0
25333,NAGULAPALLI DHANALAKSHMI.,FEM,YSRCP,98318,ST,201712,260380,rampachodavaram,ST,COASTAL ANDHRA,16,77.47,48.74,no,39206,19.44,2.94,True,1.0,,,,,1.0,False,False,False,34.0,east godavari,Graduate Professional,Other or Unspecified,2
25349,TANETI VANITA,FEM,YSRCP,79892,SC,152611,176505,kovvur,SC,COASTAL ANDHRA,12,86.46,52.35,no,25248,16.54,2.44,True,2.0,TDP,GOPALAPURAM,False,False,2.0,True,False,False,45.0,west godavari,Post Graduate,Business,0
25361,G. Srinivas Naidu,MAL,YSRCP,81001,GENER,168096,203240,nidadavole,GEN,COASTAL ANDHRA,11,82.71,48.19,no,21688,12.9,2.7,True,1.0,,,,,1.0,False,False,False,50.0,west godavari,Post Graduate,Business,0
25372,CHERUKUVADA SRIRANGANADHA RAJU,MAL,YSRCP,66494,GENER,138747,174308,achanta,GEN,COASTAL ANDHRA,14,79.6,47.92,no,12886,9.29,2.56,True,1.0,,,,,1.0,False,False,False,66.0,west godavari,8th Pass,Business,0
25386,DR. NIMMALA RAMANAIDU,MAL,TDP,67549,GENER,156421,190192,palacole,GEN,COASTAL ANDHRA,14,82.24,43.18,no,17809,11.39,3.03,True,2.0,TDP,PALACOLE,True,True,2.0,False,True,True,49.0,west godavari,Doctorate,Agriculture,2
25400,MUDUNURI PRASADA RAJU,MAL,YSRCP,55556,GENER,136556,168187,narasapuram,GEN,COASTAL ANDHRA,15,81.19,40.68,no,6436,4.71,2.94,True,2.0,INC,NARASAPURAM,True,False,2.0,True,False,False,45.0,west godavari,10th Pass,Politics,2
25415,GRANDHI SRINIVAS,MAL,YSRCP,70642,GENER,192061,246424,bhimavaram,GEN,COASTAL ANDHRA,14,77.94,36.78,no,8357,4.35,3.03,True,2.0,YSRCP,BHIMAVARAM,True,True,1.0,False,False,True,55.0,west godavari,12th Pass,Business,2
25429,MANTENA RAMARAJU (KALAPUDI RAMBABU),MAL,TDP,82730,GENER,186077,219572,undi,GEN,COASTAL ANDHRA,11,84.75,44.46,no,10949,5.88,2.7,True,1.0,,,,,1.0,False,False,False,42.0,west godavari,Others,Agriculture,2
25440,KARUMURI VENKATA NAGESWARA RAO,MAL,YSRCP,75975,GENER,188494,232219,tanuku,GEN,COASTAL ANDHRA,13,81.17,40.31,no,2195,1.16,2.94,True,2.0,INC,TANUKU,True,False,2.0,True,False,False,54.0,west godavari,5th Pass,Business,2
25453,KOTTU SATYANARAYANA,MAL,YSRCP,70741,GENER,167761,208789,tadepalligudem,GEN,COASTAL ANDHRA,14,80.35,42.17,no,16466,9.82,3.03,True,5.0,IND,TADEPALLIGUDEM,True,False,1.0,False,False,True,63.0,west godavari,12th Pass,Business,2
25467,Puppala Srinivasarao (Vasubabu),MAL,YSRCP,94621,GENER,173841,200216,ungutur,GEN,COASTAL ANDHRA,9,86.83,54.43,no,33153,19.07,2.33,True,1.0,,,,,1.0,False,False,False,51.0,west godavari,12th Pass,Business,0
25476,ABBAYA CHOWDARY KOTHARI,MAL,YSRCP,96142,GENER,186989,220361,denduluru,GEN,COASTAL ANDHRA,13,84.86,51.42,no,17459,9.34,2.27,True,1.0,,,,,1.0,False,False,False,37.0,west godavari,Graduate Professional,Business,0
25489,ALLA KALI KRISHNA SRINIVAS (ALLA NANI),MAL,YSRCP,72247,GENER,161511,238903,eluru,GEN,COASTAL ANDHRA,9,67.61,44.73,no,4072,2.52,2.56,True,5.0,YSRCP,ELURU,True,True,2.0,False,False,True,49.0,west godavari,12th Pass,Agriculture,2
25498,Venkatrao Talari,MAL,YSRCP,111785,SC,199464,232124,gopalapuram,SC,COASTAL ANDHRA,8,85.93,56.04,no,37461,18.78,2.22,True,2.0,YSRCP,GOPALAPURAM,True,True,1.0,False,False,True,51.0,west godavari,Others,Agriculture,0
25506,TELLAM BALA RAJU,MAL,YSRCP,110523,ST,213311,245535,polavaram,ST,COASTAL ANDHRA,12,86.88,51.81,no,42070,19.72,2.7,True,3.0,YSRCP,POLAVARAM,True,True,2.0,False,False,True,44.0,west godavari,12th Pass,Agriculture,0
25518,VUNNAMATLA RAKADA ELIZA,MAL,YSRCP,115755,SC,216232,263398,chintalapudi,SC,COASTAL ANDHRA,11,82.09,53.53,no,36175,16.73,2.33,True,1.0,,,,,1.0,False,False,False,58.0,west godavari,Graduate,Former Government,0
25529,Kokkiligadda Rakshana Nidhi,MAL,YSRCP,89118,SC,175682,203436,tiruvuru,SC,COASTAL ANDHRA,13,86.36,50.73,no,10835,6.17,2.17,True,2.0,YSRCP,TIRUVURU,True,True,2.0,False,True,True,56.0,krishna,5th Pass,Agriculture,0
25542,Meka Venkata Pratap Apparao,MAL,YSRCP,101950,GENER,200547,230693,nuzvid,GEN,COASTAL ANDHRA,12,86.93,50.84,no,16210,8.08,2.27,True,3.0,YSRCP,NUZVID,True,True,2.0,False,True,True,68.0,krishna,Graduate,Business,2
25554,Vamsi Vallabhaneni,MAL,TDP,103881,GENER,220718,258084,gannavaram,GEN,COASTAL ANDHRA,15,85.52,47.07,no,838,0.38,2.27,True,1.0,,,,,1.0,False,False,False,48.0,krishna,,,2
25569,KODALI SRI VENKATESWARA RAO (NANI),MAL,YSRCP,89833,GENER,167902,208393,gudivada,GEN,COASTAL ANDHRA,13,80.57,53.5,no,19479,11.6,2.13,True,4.0,YSRCP,GUDIVADA,True,True,4.0,False,True,True,47.0,krishna,8th Pass,Business,1
25582,DULAM NAGESWARA RAO (DNR),MAL,YSRCP,82128,GENER,171772,195844,kaikalur,GEN,COASTAL ANDHRA,15,87.71,47.81,no,9357,5.45,2.44,True,1.0,,,,,1.0,False,False,False,61.0,krishna,8th Pass,Business,2
25597,JOGI RAMESH,MAL,YSRCP,61920,GENER,145848,166223,pedana,GEN,COASTAL ANDHRA,10,87.74,42.46,no,7839,5.37,2.86,True,2.0,INC,PEDANA,True,False,2.0,True,False,False,50.0,krishna,Graduate,Politics,2
25607,PERNI VENKATARAMAIAH (NANI),MAL,YSRCP,66141,GENER,149102,184578,machilipatnam,GEN,COASTAL ANDHRA,9,80.78,44.36,no,5851,3.92,2.63,True,1.0,,,,,1.0,False,False,False,53.0,krishna,Graduate,Social Work,2
25616,RAMESH BABU SIMHADRI,MAL,YSRCP,78445,GENER,184372,207353,avanigadda,GEN,COASTAL ANDHRA,13,88.92,42.55,no,20725,11.24,3.23,True,2.0,YSRCP,AVANIGADDA,True,True,1.0,False,False,True,63.0,krishna,12th Pass,Business,2
25629,Anil Kumar Kaile,MAL,YSRCP,88547,SC,157691,180913,pamarru,SC,COASTAL ANDHRA,13,87.16,56.15,no,30873,19.58,2.22,True,1.0,,,,,1.0,False,False,False,41.0,krishna,Graduate Professional,Business,0
25642,KOLUSU PARTHA SARATHY,MAL,YSRCP,101485,GENER,213929,267803,penamaluru,GEN,COASTAL ANDHRA,14,79.88,47.44,no,11317,5.29,2.38,True,1.0,,,,,1.0,False,False,False,53.0,krishna,12th Pass,Politics,2
25656,Velam Palli Srinivasa Rao,MAL,YSRCP,58435,GENER,153623,232604,vijayawada west,GEN,COASTAL ANDHRA,23,66.04,38.04,no,7671,4.99,3.57,True,3.0,BJP,VIJAYAWADA WEST,True,False,2.0,True,False,True,47.0,krishna,10th Pass,Business,2
25679,MALLADI VISHNU,MAL,YSRCP,70721,GENER,178013,269912,vijayawada central,GEN,COASTAL ANDHRA,18,65.95,39.73,no,25,0.01,2.86,True,3.0,INC,VIJAYAWADA CENTRAL,True,False,2.0,True,False,True,56.0,krishna,8th Pass,Agriculture,2
25697,Gadde Rama Mohan,MAL,TDP,82990,GENER,186923,275724,vijayawada east,GEN,COASTAL ANDHRA,13,67.79,44.4,no,15164,8.11,2.78,True,2.0,IND,Narasipatnam,False,False,1.0,False,False,False,62.0,krishna,Post Graduate,Business,2
25710,VASANTHA VENKATA KRISHNA PRASAD,MAL,YSRCP,114940,GENER,232500,280536,mylavaram,GEN,COASTAL ANDHRA,19,82.88,49.44,no,12653,5.44,2.33,True,2.0,INC,NANDIGAMA,False,False,1.0,True,False,False,49.0,krishna,10th Pass,Business,2
25729,MONDITOKA JAGAN MOHANA RAO,MAL,YSRCP,87493,SC,170474,195053,nandigama,SC,COASTAL ANDHRA,10,87.4,51.32,no,10881,6.38,2.17,True,2.0,YSRCP,NANDIGAMA,True,True,1.0,False,False,True,54.0,krishna,Post Graduate,Liberal Profession or Professional,0
25739,UDAYABHANU SAMINENI,MAL,YSRCP,87965,GENER,176115,195729,jaggayyapeta,GEN,COASTAL ANDHRA,11,89.98,49.95,no,4778,2.71,2.13,True,4.0,YSRCP,JAGGAYYAPETA,True,True,2.0,False,False,True,64.0,krishna,Graduate,Business,1
25750,NAMBURU SANKARA RAO,MAL,YSRCP,99577,GENER,197885,222800,pedakurapadu,GEN,COASTAL ANDHRA,12,88.82,50.32,no,14104,7.13,2.27,True,1.0,,,,,1.0,False,False,False,52.0,guntur,12th Pass,Business,2
